Date,total_pnl,avg_pnl_per_trade,trade_count,pnl_volatility,total_volume,avg_trade_size,active_traders,buy_ratio,win_rate,profit_factor,classification,value,sentiment_score
7/29/2024,330.8045,8.4822,39,21.7307,327199.14,8389.7215,2,0,0.41025641,0.101101886,Greed,74,4
7/30/2024,0,0,6,0,36006.47,6001.0783,1,0,0,0,Greed,67,4
7/31/2024,765.6909,17.8068,43,45.9865,84506.54,1965.2684,2,0,0.325581395,0.90607295,Greed,61,4
8/1/2024,167.08,2.9312,57,23.1972,227774.53,3996.0444,4,0,0.070175439,0.073353241,Neutral,52,3
8/2/2024,782.3682,12.4185,63,44.1491,396320.37,6290.7995,3,0,0.26984127,0.197408021,Greed,57,4
8/3/2024,464.1897,12.5457,37,76.3123,290532.86,7852.2395,5,0,0.027027027,0.159771841,Fear,37,2
8/4/2024,-122672.0009,-965.9213,127,3618.9615,1207744.07,9509.7958,5,0,0.023622047,-10.15711888,Fear,34,2
8/5/2024,-13013.6652,-162.6708,80,795.0274,420495.4,5256.1925,4,0,0.4125,-3.094841275,Fear,26,2
8/6/2024,267.318,2.4983,107,8.2838,61478.38,574.5643,2,0,0.121495327,0.434816272,Extreme Fear,17,1
8/7/2024,188.7893,5.7209,33,10.3494,2492.77,75.5385,3,0,0.303030303,7.573474488,Fear,29,2
8/8/2024,-40.7122,-4.5236,9,9.6819,16299.35,1811.0389,2,0,0,-0.249778059,Extreme Fear,20,1
8/9/2024,18082.0713,125.5699,144,454.8533,503204.86,3494.4782,5,0,0.298611111,3.59338169,Neutral,48,3
8/10/2024,0,0,88,0,11339.29,128.8556,2,0,0,0,Fear,40,2
8/11/2024,847.7766,35.324,24,91.2518,44230.21,1842.9254,2,0,0.166666667,1.916736547,Fear,39,2
8/12/2024,858.6705,17.889,48,64.6475,54167.32,1128.4858,3,0,0.125,1.585218726,Fear,25,2
8/13/2024,212.081,9.2209,23,19.4223,20797.87,904.2552,3,0,0.347826087,1.019724616,Fear,31,2
